grievance_text,category,priority
The public toilet near the market is dirty and poorly maintained.,PUBLIC_TOILETS,MEDIUM
The local school needs more basic educational facilities. People in the locality are requesting a solution.,EDUCATION,LOW
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
Stray cattle are creating a problem in the local area.,ANIMAL_CONTROL,HIGH
A public safety concern has been reported by residents in the locality. Please arrange the necessary civic action.,PUBLIC_SAFETY,CRITICAL
The municipal water supply is irregular in our locality. People in the locality are requesting a solution.,WATER,HIGH
The classroom infrastructure at the school requires maintenance. People in the locality are requesting a solution.,EDUCATION,MEDIUM
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
Uncontrolled animals are creating problems for people in the locality. People in the locality are requesting a solution.,ANIMAL_CONTROL,HIGH
Our neighborhood is experiencing frequent power cuts.,ELECTRICITY,HIGH
The area needs measures to reduce pollution and protect nature. Please arrange the necessary civic action.,ENVIRONMENT,MEDIUM
Students do not have adequate facilities in the public school. People in the locality are requesting a solution.,EDUCATION,LOW
The stormwater drain needs urgent cleaning. Please arrange the necessary civic action.,DRAINAGE,HIGH
The school laboratory and library require educational infrastructure improvements.,EDUCATION,LOW
The intersection needs better traffic management. The issue has been reported by local residents.,TRAFFIC,MEDIUM
Passengers need more frequent buses on the public transport route. The issue has been reported by local residents.,PUBLIC_TRANSPORT,MEDIUM
Stray dogs are causing problems near the residential buildings.,ANIMAL_CONTROL,MEDIUM
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
The electrical supply is unstable and affecting households. Please arrange the necessary civic action.,ELECTRICITY,MEDIUM
The public water supply has stopped since yesterday.,WATER,MEDIUM
Our area needs additional city buses during peak hours. Residents have requested prompt action.,PUBLIC_TRANSPORT,MEDIUM
The sewer drain needs cleaning to prevent overflow. Please arrange the necessary civic action.,DRAINAGE,MEDIUM
Families are not receiving their scheduled water supply. Residents have requested prompt action.,WATER,HIGH
Peak hour traffic is causing long delays at the junction. People in the locality are requesting a solution.,TRAFFIC,HIGH
Our government housing unit has serious structural damage. People in the locality are requesting a solution.,HOUSING,CRITICAL
An accessible pathway is needed at the public service building. The issue has been reported by local residents.,DISABILITY_ACCESS,HIGH
The electrical supply is unstable and affecting households. Please arrange the necessary civic action.,ELECTRICITY,MEDIUM
Uncollected garbage is creating an unpleasant smell. The issue has been reported by local residents.,WASTE,LOW
This is a general local complaint that needs to be directed to the correct department. People in the locality are requesting a solution.,OTHER,MEDIUM
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
Environmental pollution is affecting the community. The issue has been reported by local residents.,ENVIRONMENT,HIGH
The college campus needs better facilities for students.,EDUCATION,MEDIUM
The public restroom has unhygienic facilities. People in the locality are requesting a solution.,PUBLIC_TOILETS,MEDIUM
Vehicles are facing severe congestion at the busy intersection. Residents have requested prompt action.,TRAFFIC,HIGH
The public toilet near the market is dirty and poorly maintained.,PUBLIC_TOILETS,MEDIUM
The housing block requires structural repairs and safer accommodation. The issue has been reported by local residents.,HOUSING,HIGH
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
I want to report a local community matter that does not fit another category. The issue has been reported by local residents.,OTHER,MEDIUM
Public buses are not available regularly on this route. Please arrange the necessary civic action.,PUBLIC_TRANSPORT,MEDIUM
Residents need assistance with damaged government housing units.,HOUSING,CRITICAL
Our neighborhood is experiencing frequent power cuts.,ELECTRICITY,HIGH
People are worried about their personal safety at the isolated location.,PUBLIC_SAFETY,CRITICAL
Smoke pollution is affecting the environment in our locality.,ENVIRONMENT,MEDIUM
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
The bus route needs more frequent services for commuters. The issue has been reported by local residents.,PUBLIC_TRANSPORT,HIGH
This is a general local complaint that needs to be directed to the correct department. People in the locality are requesting a solution.,OTHER,MEDIUM
Household waste is piling up near the residential area. Residents have requested prompt action.,WASTE,LOW
The school laboratory and library require educational infrastructure improvements. Please arrange the necessary civic action.,EDUCATION,LOW
The government school needs additional classrooms for students. The issue has been reported by local residents.,EDUCATION,LOW
The local government hospital needs additional medical staff. People in the locality are requesting a solution.,HEALTHCARE,HIGH
The public hospital needs more doctors and nurses.,HEALTHCARE,CRITICAL
Industrial activity is causing pollution in the surrounding area.,ENVIRONMENT,HIGH
The electricity supply keeps fluctuating in our locality. Residents have requested prompt action.,ELECTRICITY,MEDIUM
The voltage supply is unstable in our area. The issue has been reported by local residents.,ELECTRICITY,MEDIUM
A public safety concern has been reported by residents in the locality. Please arrange the necessary civic action.,PUBLIC_SAFETY,CRITICAL
The neighborhood needs action to protect the local environment. Please arrange the necessary civic action.,ENVIRONMENT,HIGH
The lighting on our street is not functioning at night. People in the locality are requesting a solution.,STREETLIGHT,LOW
Frequent blackouts are affecting homes in our neighborhood.,ELECTRICITY,MEDIUM
The public hospital needs more doctors and nurses.,HEALTHCARE,CRITICAL
The electrical supply is unstable and affecting households. Please arrange the necessary civic action.,ELECTRICITY,MEDIUM
Several families are living in unsafe residential buildings. Please arrange the necessary civic action.,HOUSING,HIGH
The public premises do not provide proper accessibility facilities. Please arrange the necessary civic action.,DISABILITY_ACCESS,HIGH
The local area needs assistance with animal control. Please arrange the necessary civic action.,ANIMAL_CONTROL,HIGH
Uncollected garbage is creating an unpleasant smell. The issue has been reported by local residents.,WASTE,LOW
Residents need assistance with damaged government housing units. The issue has been reported by local residents.,HOUSING,CRITICAL
The drainage line is overflowing near the houses. People in the locality are requesting a solution.,DRAINAGE,HIGH
Residents have reported a serious safety risk in the public place. The issue has been reported by local residents.,PUBLIC_SAFETY,CRITICAL
I am unable to get a response about my government service request. People in the locality are requesting a solution.,GOVERNMENT_SERVICES,MEDIUM
The public water supply has stopped since yesterday.,WATER,MEDIUM
The municipal garbage collection service needs attention. Please arrange the necessary civic action.,WASTE,MEDIUM
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
The municipal garbage collection service needs attention. Please arrange the necessary civic action.,WASTE,MEDIUM
Residents need assistance with an increasing stray animal population. Residents have requested prompt action.,ANIMAL_CONTROL,MEDIUM
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
Residents are facing repeated electrical outages. People in the locality are requesting a solution.,ELECTRICITY,HIGH
The park benches and recreational facilities are damaged. People in the locality are requesting a solution.,PARKS,LOW
The college campus needs better facilities for students. People in the locality are requesting a solution.,EDUCATION,MEDIUM
Patients are unable to receive timely medical care at the clinic. Residents have requested prompt action.,HEALTHCARE,HIGH
The municipal garbage collection service needs attention. Please arrange the necessary civic action.,WASTE,MEDIUM
The power connection has been interrupted several times. Please arrange the necessary civic action.,ELECTRICITY,HIGH
A disabled-access entrance is missing at the government office. People in the locality are requesting a solution.,DISABILITY_ACCESS,HIGH
Trash is accumulating at the designated collection point.,WASTE,LOW
Tenants are requesting assistance with unsafe residential accommodation. The issue has been reported by local residents.,HOUSING,CRITICAL
The public garden needs regular maintenance. Residents have requested prompt action.,PARKS,MEDIUM
Passengers have to wait a long time for the public bus. Residents have requested prompt action.,PUBLIC_TRANSPORT,HIGH
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
Families are waiting for affordable public housing assistance. People in the locality are requesting a solution.,HOUSING,CRITICAL
Household waste is piling up near the residential area. Residents have requested prompt action.,WASTE,LOW
The stormwater drain needs urgent cleaning. Please arrange the necessary civic action.,DRAINAGE,HIGH
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
The government department has delayed processing my application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,LOW
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
The local school needs more basic educational facilities. Residents have requested prompt action.,EDUCATION,LOW
The public entrance is not accessible to people with mobility difficulties. People in the locality are requesting a solution.,DISABILITY_ACCESS,MEDIUM
Residents have reported a serious safety risk in the public place. The issue has been reported by local residents.,PUBLIC_SAFETY,CRITICAL
There is a municipal issue in my area that requires attention. Residents have requested prompt action.,OTHER,MEDIUM
The government office has not processed my submitted application.,GOVERNMENT_SERVICES,LOW
The local area needs assistance with animal control. Please arrange the necessary civic action.,ANIMAL_CONTROL,HIGH
Our area is facing an interruption in the water connection. Please arrange the necessary civic action.,WATER,HIGH
The community needs help controlling stray animal problems. The issue has been reported by local residents.,ANIMAL_CONTROL,HIGH
Our neighborhood needs help with an unspecified municipal concern.,OTHER,MEDIUM
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
The scheduled city bus service is not operating regularly. Please arrange the necessary civic action.,PUBLIC_TRANSPORT,HIGH
I would like to submit a general civic complaint for official review. Residents have requested prompt action.,OTHER,LOW
Residents are requesting improvements to the neighborhood park. Please arrange the necessary civic action.,PARKS,MEDIUM
Water pressure is very low on our residential street. Residents have requested prompt action.,WATER,MEDIUM
The classroom infrastructure at the school requires maintenance. Please arrange the necessary civic action.,EDUCATION,MEDIUM
Residents are facing delays in treatment at the public hospital. The issue has been reported by local residents.,HEALTHCARE,HIGH
The public garden requires maintenance and cleaning. People in the locality are requesting a solution.,PARKS,MEDIUM
A disabled-access entrance is missing at the government office. People in the locality are requesting a solution.,DISABILITY_ACCESS,HIGH
Residents are requesting improvements to the neighborhood park. Please arrange the necessary civic action.,PARKS,MEDIUM
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
The government department has delayed processing my application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,LOW
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
The public premises do not provide proper accessibility facilities. Please arrange the necessary civic action.,DISABILITY_ACCESS,HIGH
The public area is affected by excessive environmental pollution. The issue has been reported by local residents.,ENVIRONMENT,MEDIUM
My public service request has not received an official response. Residents have requested prompt action.,GOVERNMENT_SERVICES,MEDIUM
The public school requires improvements to its learning environment.,EDUCATION,LOW
Students are requesting repairs to school classrooms and educational facilities. Please arrange the necessary civic action.,EDUCATION,LOW
The public hospital needs more doctors and nurses.,HEALTHCARE,CRITICAL
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
The local water connection needs urgent attention. Please arrange the necessary civic action.,WATER,MEDIUM
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
The local water connection needs urgent attention. Please arrange the necessary civic action.,WATER,MEDIUM
The area needs measures to reduce pollution and protect nature. Please arrange the necessary civic action.,ENVIRONMENT,MEDIUM
The drain is blocked and dirty water is overflowing.,DRAINAGE,HIGH
A blocked drainage pipe is causing flooding near homes. The issue has been reported by local residents.,DRAINAGE,HIGH
Students are facing problems because school facilities are damaged. People in the locality are requesting a solution.,EDUCATION,MEDIUM
The public water supply has stopped since yesterday.,WATER,MEDIUM
The open drain is overflowing after rainfall. People in the locality are requesting a solution.,DRAINAGE,MEDIUM
The government school needs additional classrooms for students. The issue has been reported by local residents.,EDUCATION,LOW
The local park has broken children's play equipment.,PARKS,LOW
Traffic movement is slow because of congestion at the junction. The issue has been reported by local residents.,TRAFFIC,HIGH
There has been no drinking water supply in our neighborhood.,WATER,HIGH
The public area has a security problem that needs immediate attention. Residents have requested prompt action.,PUBLIC_SAFETY,HIGH
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
The community restroom needs regular cleaning and maintenance. Residents have requested prompt action.,PUBLIC_TOILETS,MEDIUM
The government school needs additional classrooms for students. Residents have requested prompt action.,EDUCATION,LOW
A dangerous public area needs better security measures. People in the locality are requesting a solution.,PUBLIC_SAFETY,HIGH
The government health facility is short of medical staff. People in the locality are requesting a solution.,HEALTHCARE,CRITICAL
There is a municipal issue in my area that requires attention. Residents have requested prompt action.,OTHER,MEDIUM
The government health facility is short of medical staff. People in the locality are requesting a solution.,HEALTHCARE,CRITICAL
Frequent blackouts are affecting homes in our neighborhood.,ELECTRICITY,MEDIUM
A damaged road surface is causing problems for motorists in our area. Please arrange the necessary civic action.,ROAD,MEDIUM
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
The local clinic needs better healthcare services for patients. Please arrange the necessary civic action.,HEALTHCARE,CRITICAL
Our area is facing an interruption in the water connection. Please arrange the necessary civic action.,WATER,HIGH
Electricity service is unreliable on our street. Residents have requested prompt action.,ELECTRICITY,HIGH
Multiple street lamps have stopped working after dark. Residents have requested prompt action.,STREETLIGHT,MEDIUM
The public garden requires maintenance and cleaning. People in the locality are requesting a solution.,PARKS,MEDIUM
Stray dogs are causing problems near the residential buildings.,ANIMAL_CONTROL,MEDIUM
The electricity supply keeps fluctuating in our locality. Residents have requested prompt action.,ELECTRICITY,MEDIUM
A major traffic jam forms near the signal every morning.,TRAFFIC,MEDIUM
The open drain is overflowing after rainfall. People in the locality are requesting a solution.,DRAINAGE,MEDIUM
Large potholes are making the road difficult for vehicles to use.,ROAD,MEDIUM
A public safety concern has been reported by residents in the locality. Please arrange the necessary civic action.,PUBLIC_SAFETY,CRITICAL
The college campus needs better facilities for students. Residents have requested prompt action.,EDUCATION,MEDIUM
Household rubbish is being left uncollected in our locality. The issue has been reported by local residents.,WASTE,MEDIUM
The residential housing complex requires repairs to its units. The issue has been reported by local residents.,HOUSING,HIGH
The playground equipment in the public park is unsafe. Please arrange the necessary civic action.,PARKS,LOW
Household rubbish is being left uncollected in our locality. The issue has been reported by local residents.,WASTE,MEDIUM
Garbage has not been collected from our street for several days.,WASTE,MEDIUM
The public area is affected by excessive environmental pollution. The issue has been reported by local residents.,ENVIRONMENT,MEDIUM
Families are not receiving their scheduled water supply. Residents have requested prompt action.,WATER,HIGH
There is a municipal issue in my area that requires attention. Residents have requested prompt action.,OTHER,MEDIUM
The sewer drain needs cleaning to prevent overflow. Please arrange the necessary civic action.,DRAINAGE,MEDIUM
Residents are experiencing repeated power failures. The issue has been reported by local residents.,ELECTRICITY,HIGH
Residents are concerned about animals roaming around the neighborhood. Please arrange the necessary civic action.,ANIMAL_CONTROL,MEDIUM
Students are facing problems because school facilities are damaged. Residents have requested prompt action.,EDUCATION,MEDIUM
The neighborhood park requires landscaping and repairs. The issue has been reported by local residents.,PARKS,MEDIUM
Residents are concerned about worsening air quality. People in the locality are requesting a solution.,ENVIRONMENT,MEDIUM
The neighborhood park requires landscaping and repairs. The issue has been reported by local residents.,PARKS,MEDIUM
The community needs improved security and protection in the public area. Please arrange the necessary civic action.,PUBLIC_SAFETY,HIGH
Water pressure is very low on our residential street. Residents have requested prompt action.,WATER,MEDIUM
Students need safer and better-maintained classrooms at the school.,EDUCATION,MEDIUM
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
Students do not have adequate facilities in the public school. The issue has been reported by local residents.,EDUCATION,LOW
A stray animal issue has been reported by residents. The issue has been reported by local residents.,ANIMAL_CONTROL,MEDIUM
Waste collection is irregular in our neighborhood. People in the locality are requesting a solution.,WASTE,MEDIUM
The public toilet near the market is dirty and poorly maintained.,PUBLIC_TOILETS,MEDIUM
There has been no drinking water supply in our neighborhood.,WATER,HIGH
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
Uneven pavement is making it difficult for vehicles to travel safely. Residents have requested prompt action.,ROAD,MEDIUM
The playground equipment in the public park is unsafe. Please arrange the necessary civic action.,PARKS,LOW
The residential apartment has a leaking roof and damaged walls. Please arrange the necessary civic action.,HOUSING,HIGH
The local clinic needs better healthcare services for patients. Please arrange the necessary civic action.,HEALTHCARE,CRITICAL
Smoke pollution is affecting the environment in our locality.,ENVIRONMENT,MEDIUM
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
Residents are concerned about worsening air quality. People in the locality are requesting a solution.,ENVIRONMENT,MEDIUM
Please review this community issue and assign it to the appropriate authority. Please arrange the necessary civic action.,OTHER,MEDIUM
Residents are facing a shortage of municipal water. The issue has been reported by local residents.,WATER,HIGH
Patients are unable to receive timely medical care at the clinic. Residents have requested prompt action.,HEALTHCARE,HIGH
A disabled-access entrance is missing at the government office. People in the locality are requesting a solution.,DISABILITY_ACCESS,HIGH
The drainage line is overflowing near the houses. People in the locality are requesting a solution.,DRAINAGE,HIGH
The traffic signal area experiences long queues during peak hours. People in the locality are requesting a solution.,TRAFFIC,MEDIUM
Vehicles are facing severe congestion at the busy intersection. Residents have requested prompt action.,TRAFFIC,HIGH
The facility requires better disability access arrangements. Please arrange the necessary civic action.,DISABILITY_ACCESS,MEDIUM
The public toilet near the market is dirty and poorly maintained.,PUBLIC_TOILETS,MEDIUM
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
Several lamp posts on the street have stopped functioning. Residents have requested prompt action.,STREETLIGHT,LOW
The toilet facility in the market area is poorly maintained. The issue has been reported by local residents.,PUBLIC_TOILETS,MEDIUM
Patients at the public health centre are waiting for hours. Residents have requested prompt action.,HEALTHCARE,CRITICAL
The public toilet has broken sanitation facilities.,PUBLIC_TOILETS,LOW
Students are facing problems because school facilities are damaged. The issue has been reported by local residents.,EDUCATION,MEDIUM
A damaged streetlight needs to be repaired. The issue has been reported by local residents.,STREETLIGHT,LOW
Families need support for safe and affordable accommodation.,HOUSING,CRITICAL
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
The government building needs accessibility features for people with disabilities. Residents have requested prompt action.,DISABILITY_ACCESS,HIGH
The local government hospital needs additional medical staff. People in the locality are requesting a solution.,HEALTHCARE,HIGH
The electrical supply is unstable and affecting households. Please arrange the necessary civic action.,ELECTRICITY,MEDIUM
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
The municipal street lights need repair. Please arrange the necessary civic action.,STREETLIGHT,LOW
The area needs measures to reduce pollution and protect nature. Please arrange the necessary civic action.,ENVIRONMENT,MEDIUM
A damaged streetlight needs to be repaired. The issue has been reported by local residents.,STREETLIGHT,LOW
Waste bins are overflowing because collection has not occurred. People in the locality are requesting a solution.,WASTE,LOW
The bus route needs more frequent services for commuters. The issue has been reported by local residents.,PUBLIC_TRANSPORT,HIGH
The playground equipment in the public park is unsafe. Please arrange the necessary civic action.,PARKS,LOW
The power connection has been interrupted several times. Please arrange the necessary civic action.,ELECTRICITY,HIGH
Large potholes are making the road difficult for vehicles to use.,ROAD,MEDIUM
The local area needs assistance with animal control. Please arrange the necessary civic action.,ANIMAL_CONTROL,HIGH
Household waste is piling up near the residential area. Residents have requested prompt action.,WASTE,LOW
Residents are facing a shortage of municipal water. The issue has been reported by local residents.,WATER,HIGH
A major traffic jam forms near the signal every morning.,TRAFFIC,MEDIUM
A large number of stray animals are gathering near the houses. People in the locality are requesting a solution.,ANIMAL_CONTROL,MEDIUM
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
The public water supply has stopped since yesterday.,WATER,MEDIUM
The local government hospital needs additional medical staff. People in the locality are requesting a solution.,HEALTHCARE,HIGH
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
Residents are facing a shortage of municipal water. The issue has been reported by local residents.,WATER,HIGH
Electricity service is unreliable on our street. Residents have requested prompt action.,ELECTRICITY,HIGH
The building needs accessible pathways for people with disabilities. The issue has been reported by local residents.,DISABILITY_ACCESS,MEDIUM
Several lamp posts on the street have stopped functioning. Residents have requested prompt action.,STREETLIGHT,LOW
The power connection has been interrupted several times. Please arrange the necessary civic action.,ELECTRICITY,HIGH
The school laboratory and library require educational infrastructure improvements.,EDUCATION,LOW
A section of the roadway has developed large potholes. People in the locality are requesting a solution.,ROAD,HIGH
Residents are requesting improvements to the neighborhood park. Please arrange the necessary civic action.,PARKS,MEDIUM
The government department has delayed processing my application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,LOW
Stray dogs are causing problems near the residential buildings.,ANIMAL_CONTROL,MEDIUM
I need assistance with a pending government service request. Please arrange the necessary civic action.,GOVERNMENT_SERVICES,MEDIUM
The road needs resurfacing because the asphalt has worn away.,ROAD,HIGH
Severe traffic congestion occurs at the junction every evening.,TRAFFIC,HIGH
Broken pavement is causing difficulty for cars and two-wheelers. Please arrange the necessary civic action.,ROAD,HIGH
The public garden needs regular maintenance. Residents have requested prompt action.,PARKS,MEDIUM
The public office has not provided an update on my application. Residents have requested prompt action.,GOVERNMENT_SERVICES,LOW
The government health facility is short of medical staff. People in the locality are requesting a solution.,HEALTHCARE,CRITICAL
The streetlight pole near the junction is not illuminated.,STREETLIGHT,LOW
Students are requesting repairs to school classrooms and educational facilities. People in the locality are requesting a solution.,EDUCATION,LOW
The neighborhood needs action to protect the local environment. Please arrange the necessary civic action.,ENVIRONMENT,HIGH
Passengers have to wait a long time for the public bus. Residents have requested prompt action.,PUBLIC_TRANSPORT,HIGH
The public area is affected by excessive environmental pollution. The issue has been reported by local residents.,ENVIRONMENT,MEDIUM
A broken lamp post is leaving the street without lighting. The issue has been reported by local residents.,STREETLIGHT,MEDIUM
I need an update about a pending government application. The issue has been reported by local residents.,GOVERNMENT_SERVICES,MEDIUM
The apartment building has unsafe residential conditions. The issue has been reported by local residents.,HOUSING,HIGH
The garbage collection schedule is not being followed. Please arrange the necessary civic action.,WASTE,LOW
Household rubbish is being left uncollected in our locality. The issue has been reported by local residents.,WASTE,MEDIUM
The public school requires improvements to its learning environment. People in the locality are requesting a solution.,EDUCATION,LOW
Uneven pavement is making it difficult for vehicles to travel safely. Residents have requested prompt action.,ROAD,MEDIUM
The toilet facility near the bus area is not being cleaned. The issue has been reported by local residents.,PUBLIC_TOILETS,LOW
Residents are facing delays in treatment at the public hospital. The issue has been reported by local residents.,HEALTHCARE,HIGH
Residents want better safety measures around the public gathering area. People in the locality are requesting a solution.,PUBLIC_SAFETY,CRITICAL
The children's playground in the park needs repairs. Residents have requested prompt action.,PARKS,LOW
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
The residential apartment has a leaking roof and damaged walls.,HOUSING,HIGH
The government school needs repairs to its classrooms and learning facilities. The issue has been reported by local residents.,EDUCATION,MEDIUM
Residents are requesting assistance with a miscellaneous civic matter. The issue has been reported by local residents.,OTHER,LOW
A public safety concern has been reported by residents in the locality. Please arrange the necessary civic action.,PUBLIC_SAFETY,CRITICAL
People are worried about their personal safety at the isolated location.,PUBLIC_SAFETY,CRITICAL
The residential apartment has a leaking roof and damaged walls. The issue has been reported by local residents.,HOUSING,HIGH
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
The public lamp outside our building has been out for many nights. Please arrange the necessary civic action.,STREETLIGHT,MEDIUM
This is a general local complaint that needs to be directed to the correct department. People in the locality are requesting a solution.,OTHER,MEDIUM
The traffic signal area experiences long queues during peak hours. People in the locality are requesting a solution.,TRAFFIC,MEDIUM
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
Tenants are requesting assistance with unsafe residential accommodation. Please arrange the necessary civic action.,HOUSING,CRITICAL
Residents are concerned about worsening air quality. People in the locality are requesting a solution.,ENVIRONMENT,MEDIUM
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
Residents need assistance with aggressive stray animals. Residents have requested prompt action.,ANIMAL_CONTROL,HIGH
The public entrance is not accessible to people with mobility difficulties. People in the locality are requesting a solution.,DISABILITY_ACCESS,MEDIUM
Household waste is piling up near the residential area. Residents have requested prompt action.,WASTE,LOW
The residential housing complex requires repairs to its units. People in the locality are requesting a solution.,HOUSING,HIGH
Water pressure is very low on our residential street. Residents have requested prompt action.,WATER,MEDIUM
A blocked drainage pipe is causing flooding near homes. The issue has been reported by local residents.,DRAINAGE,HIGH
The street light near our house is not working at night.,STREETLIGHT,MEDIUM
Trash is accumulating at the designated collection point.,WASTE,LOW
The road remains dark because the street lights are off. People in the locality are requesting a solution.,STREETLIGHT,MEDIUM
Wastewater is backing up because the drain is blocked. Residents have requested prompt action.,DRAINAGE,HIGH
The drainage channel is blocked with silt and debris.,DRAINAGE,MEDIUM
Traffic movement is slow because of congestion at the junction. The issue has been reported by local residents.,TRAFFIC,HIGH
Students need safer and better-maintained classrooms at the school. Residents have requested prompt action.,EDUCATION,MEDIUM
Commuters are struggling because the scheduled bus service is unreliable.,PUBLIC_TRANSPORT,HIGH
Residents are facing delays in treatment at the public hospital. The issue has been reported by local residents.,HEALTHCARE,HIGH
Students are facing problems because school facilities are damaged. Please arrange the necessary civic action.,EDUCATION,MEDIUM
My application at the government office has been pending for weeks.,GOVERNMENT_SERVICES,MEDIUM
The voltage supply is unstable in our area. The issue has been reported by local residents.,ELECTRICITY,MEDIUM
The municipal water supply is irregular in our locality. People in the locality are requesting a solution.,WATER,HIGH
The bus route needs more frequent services for commuters. The issue has been reported by local residents.,PUBLIC_TRANSPORT,HIGH
Our neighborhood needs help with an unspecified municipal concern.,OTHER,MEDIUM
Please review this general civic request and direct it to the appropriate office. Please arrange the necessary civic action.,OTHER,LOW
Several families are living in unsafe residential buildings. Residents have requested prompt action.,HOUSING,HIGH
I need assistance with a local civic matter that does not match the available categories.,OTHER,LOW
Residents are facing difficulty getting treatment at the public clinic. The issue has been reported by local residents.,HEALTHCARE,CRITICAL
My application at the government office has been pending for weeks.,GOVERNMENT_SERVICES,MEDIUM
Vehicles are getting stuck in a traffic jam near the intersection. Residents have requested prompt action.,TRAFFIC,MEDIUM
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
The community park needs maintenance of its walking paths.,PARKS,MEDIUM
The local power supply needs urgent attention. People in the locality are requesting a solution.,ELECTRICITY,MEDIUM
